Date,GoldPrice_Gm,AfterImportDuty,ConsumerPrice_gst,Gold916_gst,GoldPrice_Oz
9/18/2023,5149.77,5793.49,5967.29,5466.04,160175.6
9/15/2023,5152.13,5796.15,5970.03,5468.55,160249.3
9/14/2023,5077.59,5712.29,5883.66,5389.43,157930.6
9/13/2023,5100.84,5738.45,5910.60,5414.11,158654
9/12/2023,5085.04,5720.67,5892.29,5397.34,158162.5
9/11/2023,5127.47,5768.40,5941.45,5442.37,159482.1
9/8/2023,5144.42,5787.47,5961.09,5460.36,160009.3
9/7/2023,5129.10,5770.24,5943.35,5444.11,159532.7
9/6/2023,5144.00,5787.00,5960.61,5459.92,159996.3
9/5/2023,5143.07,5785.95,5959.53,5458.93,159967.4
9/4/2023,5152.51,5796.57,5970.47,5468.95,160260.9
9/1/2023,5158.66,5803.49,5977.59,5475.47,160452.2
8/31/2023,5164.03,5809.53,5983.82,5481.18,160619.3
8/30/2023,5172.80,5819.40,5993.98,5490.49,160892.2
